Quantity,Alternate Names,Defining Document,Description,Item,Last edited by,Last edited time,SI Units,Symbol,Type
phase angle,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"angular measure (item 3-5) between the
positive real axis and the radius of the polar
representation of the complex number in the
complex plan",3-7,Steven Jenkins,"August 18, 2026 11:50 AM",radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),phi (https://app.notion.com/p/phi-3c0b24cf917a8098ba8de52d78b01dc3?pvs=21),Derived
rotational displacement,angular displacement (https://app.notion.com/p/angular-displacement-3c0b24cf917a8010a63ff8f1ac9e0f97?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"quotient of the traversed circular path length
(item 3-1.7) of a point in space during a rotation and its distance (item 3-1.8) from the axis
or centre of rotation",3-6,Steven Jenkins,"August 18, 2026 11:49 AM",radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),"theta (https://app.notion.com/p/theta-3c0b24cf917a80ca9a08c4c1a53599c8?pvs=21), phi (https://app.notion.com/p/phi-3c0b24cf917a8098ba8de52d78b01dc3?pvs=21)",Derived
angular velocity,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector (ISO 80000-2) quantity giving the rate
of change of the rotational displacement (item
3‑6) as its magnitude (ISO 80000-2) and with
a direction equal to the direction of the axis of
rotation",3-12,Steven Jenkins,"August 18, 2026 10:31 AM",radian per square second (https://app.notion.com/p/radian-per-square-second-3c0b24cf917a80bcaf52f4f501b2ca9b?pvs=21),vector omega (https://app.notion.com/p/vector-omega-3c0b24cf917a8021a340cdd269fc3bce?pvs=21),Derived
angular acceleration,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),vector (ISO 80000-2) quantity giving the rate of change of velocity (item 3‑10),3-13,Steven Jenkins,"August 18, 2026 10:33 AM",radian per second cubed (https://app.notion.com/p/radian-per-second-cubed-3c0b24cf917a80938475c8b14d1559d6?pvs=21),vector alpha (https://app.notion.com/p/vector-alpha-3c0b24cf917a8051aac8c4ac734c5d11?pvs=21),Derived
time constant,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"parameter characterizing the response to a
step input of a first‑order, linear time‑invariant system",3-15,Steven Jenkins,"August 18, 2026 10:34 AM",second (https://app.notion.com/p/second-270c1bcf3b5b4cc7ba5d7e47c98462b9?pvs=21),"tau (https://app.notion.com/p/tau-3c0b24cf917a804ebf33dc2d87685fba?pvs=21), T (https://app.notion.com/p/T-3c0b24cf917a802d91cafa72ca21905f?pvs=21)",Derived
period duration,period (https://app.notion.com/p/period-3c0b24cf917a8071a598d4ce92cc441f?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"duration (item 3‑9) of one cycle of a periodic
event",3-14,Steven Jenkins,"August 18, 2026 10:34 AM",second (https://app.notion.com/p/second-270c1bcf3b5b4cc7ba5d7e47c98462b9?pvs=21),T (https://app.notion.com/p/T-3c0b24cf917a802d91cafa72ca21905f?pvs=21),Derived
rotation,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),number of revolutions,3-16,Steven Jenkins,"August 18, 2026 10:35 AM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),N (https://app.notion.com/p/N-3c0b24cf917a802b8310cd117cebb9d4?pvs=21),Derived
rotational frequency,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),rate of change of rotation (item 3-16),3-17.2,Steven Jenkins,"August 18, 2026 10:45 AM",one per second (https://app.notion.com/p/one-per-second-3c0b24cf917a8049b900e74f2e67ca8f?pvs=21),eta (https://app.notion.com/p/eta-3c0b24cf917a80b98fadf7d23a8cd10b?pvs=21),Derived
angular frequency,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),rate of change of the phase angle (item 3-7),3-18,Steven Jenkins,"August 18, 2026 10:51 AM",radian per second (https://app.notion.com/p/radian-per-second-3c0b24cf917a80ee863dcea0635a8964?pvs=21),omega (https://app.notion.com/p/omega-3c0b24cf917a80a79bc1f9c24917d804?pvs=21),Derived
wavelength,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),length (item 3-1.1) of the repetition interval of a wave,3-19,Steven Jenkins,"August 18, 2026 10:51 AM",metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),lambda (https://app.notion.com/p/lambda-3c0b24cf917a8067b5dbf4416d8e1eb0?pvs=21),Derived
repetency,wavenumber (https://app.notion.com/p/wavenumber-3c0b24cf917a8033a15fd87d52046ac2?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of the wavelength (item 3-19),3-20,Steven Jenkins,"August 18, 2026 11:58 AM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),"sigma (https://app.notion.com/p/sigma-3c0b24cf917a80608574ea2fb9cb972c?pvs=21), v bar (https://app.notion.com/p/v-bar-3c0b24cf917a8043bdecea9fae0314a4?pvs=21)",Derived
wave vector,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector normal to the surfaces of constant phase angle (item 3-7) of a wave, with the magnitude (ISO 80000-2) of repetency (item 3-20)",3-21,Steven Jenkins,"August 18, 2026 11:58 AM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),vector k (https://app.notion.com/p/vector-k-3c0b24cf917a809fb6a3dccf01eb2f03?pvs=21),Derived
angular repetency,angular wavenumber (https://app.notion.com/p/angular-wavenumber-3c0b24cf917a80d0882adcef76d3e7be?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),magnitude (ISO 80000-2) of the wave vector (item 3-21),3-22,Steven Jenkins,"August 18, 2026 12:15 PM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),k (https://app.notion.com/p/k-3c0b24cf917a8053bf4dc91b1be9916c?pvs=21),Derived
phase velocity,phase speed (https://app.notion.com/p/phase-speed-3c0b24cf917a8048b15afac1ff9aee1f?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),speed with which the phase angle (item 3-7) of a wave propagates in space,3-23.1,Steven Jenkins,"August 18, 2026 12:16 PM",metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),"c (https://app.notion.com/p/c-3c0b24cf917a80849027e9747ba1dfc6?pvs=21), v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21), c_phi (https://app.notion.com/p/c_phi-3c0b24cf917a8016bf76d81cbd74cee7?pvs=21), v sub phi (https://app.notion.com/p/v-sub-phi-3c0b24cf917a803c9079c9a1a75228e2?pvs=21)",Derived
group velocity,group speed (https://app.notion.com/p/group-speed-3c0b24cf917a8012982ec01dfc39ddaf?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),speed with which the envelope of a wave propagates in space,3-23.2,Steven Jenkins,"August 18, 2026 12:19 PM",metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),"c_g (https://app.notion.com/p/c_g-3c0b24cf917a80d2bc9dd22adf9d7fbe?pvs=21), v sub g (https://app.notion.com/p/v-sub-g-3c0b24cf917a804e9b33db29db88521e?pvs=21)",Derived
damping coefficient,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of the time constant (item 3-15) of an exponentially varying quantity,3-24,Steven Jenkins,"August 18, 2026 12:23 PM",one per second (https://app.notion.com/p/one-per-second-3c0b24cf917a8049b900e74f2e67ca8f?pvs=21),delta (https://app.notion.com/p/delta-3c0b24cf917a80adac59e85a8ac1b6f9?pvs=21),Derived
logarithmic decrement,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),product of damping coefficient (item 3-24) and period duration (item 3-14),3-25,Steven Jenkins,"August 18, 2026 12:24 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),Lambda (https://app.notion.com/p/Lambda-3c0b24cf917a80a88c96d626df6f8ee1?pvs=21),Derived
attenuation,extinction (https://app.notion.com/p/extinction-3c0b24cf917a80c58667c4e9f97c621e?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),gradual decrease in magnitude (ISO 80000-2) of any kind of flux through a medium,3-26.1,Steven Jenkins,"August 18, 2026 12:27 PM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),alpha (https://app.notion.com/p/alpha-3c0b24cf917a80218e3ad5c942545d4e?pvs=21),Derived
phase coefficient,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),change of phase angle (item 3-7) with the length (item 3-1.1) along the path travelled by a plane wave,3-26.2,Steven Jenkins,"August 18, 2026 12:29 PM",radian per metre (https://app.notion.com/p/radian-per-metre-3c0b24cf917a80248095dcea4e092485?pvs=21),beta (https://app.notion.com/p/beta-3c0b24cf917a80cf9ecceee397066adb?pvs=21),Derived
propagation coefficient,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),measure of the change of amplitude and phase angle (item 3-7) of a plane wave propagating in a given direction,3-26.3,Steven Jenkins,"August 18, 2026 12:32 PM",one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21),Derived
mass density,density (https://app.notion.com/p/density-3c3b24cf917a801094e7d00895b3d98d?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the spatial distribution of mass of a
continuous material:
$\rho(\boldsymbol r) = \mathrm dm / \mathrm dV$
where m is mass of the material",4-2,Steven Jenkins,"August 20, 2026 11:00 PM",kilogram per cubic metre (https://app.notion.com/p/kilogram-per-cubic-metre-3c0b24cf917a80768563fad68edbeb07?pvs=21),"rho (https://app.notion.com/p/rho-3c0b24cf917a805e969cff14f72d601a?pvs=21), rho_m (https://app.notion.com/p/rho_m-3c1b24cf917a8073894bde8c82c3012d?pvs=21)",Derived
relative mass density,relative density (https://app.notion.com/p/relative-density-3c0b24cf917a8006b714cdaeee39b796?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of mass density of a substance $\rho$ and a reference substance $\rho_0$: $d = \frac{\rho}{\rho_0}$,4-4,Steven Jenkins,"August 18, 2026 11:18 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),d (https://app.notion.com/p/d-3c0b24cf917a80eb832bf7a1d1ab7ac0?pvs=21),Derived
surface mass density,surface density (https://app.notion.com/p/surface-density-3c1b24cf917a80f7bd87e151d39035f5?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the areal distribution of mass of a continuous material:
$\rho_A(\boldsymbol r) = \frac{\mathrm dm}{\mathrm dA}$
where $m$ is the mass of the material at position $\boldsymbol r$ and A is area",4-5,Steven Jenkins,"August 18, 2026 11:44 PM",kilogram per square metre (https://app.notion.com/p/kilogram-per-square-metre-3c1b24cf917a80d89d5bc96974bf842c?pvs=21),rho_A (https://app.notion.com/p/rho_A-3c1b24cf917a80c7a218d48907c4f77d?pvs=21),Derived
linear mass density density,linear density (https://app.notion.com/p/linear-density-3c1b24cf917a80b7974ae4f015fca627?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the linear distribution of mass of a continuous material:
$\rho_A(\boldsymbol r) = \frac{\mathrm dm}{\mathrm dl}$
where $m$ is the mass of the material at position $\boldsymbol r$ and l is length",4-6,Steven Jenkins,"August 18, 2026 11:52 PM",kilogram per metre (https://app.notion.com/p/kilogram-per-metre-3c1b24cf917a80baa3a6c7cfe76c25e1?pvs=21),rho_l (https://app.notion.com/p/rho_l-3c1b24cf917a802780e2ff75517a087c?pvs=21),Derived
momentum,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"product of mass $m$ (item 4-1) of a body and velocity $\boldsymbol v$ (ISO 80000-3) of its centre of mass $\boldsymbol p = m \boldsymbol v$ ",4-8,Steven Jenkins,"August 20, 2026 12:05 AM",kilogram metre per second (https://app.notion.com/p/kilogram-metre-per-second-3c1b24cf917a8050a83fdeb54eb2a513?pvs=21),vector p (https://app.notion.com/p/vector-p-3c1b24cf917a80629516d71e99f50d1c?pvs=21),Derived
weight,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),force (item 4-9.1) acting on a body in the gravitational field of earth: $\boldsymbol F_g = m \boldsymbol g$ where $m$ (item 4-1) is the mass of the body and $\boldsymbol g$ is the local acceleration of free fall (ISO 80000-3),4-9.2,Steven Jenkins,"August 20, 2026 12:16 AM",newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),vector F_g (https://app.notion.com/p/vector-F_g-3c1b24cf917a8083a067ca2e93a710fb?pvs=21),Derived
impulse,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"vector (ISO 80000-2) quantity describing the effect of force acting during a time interval: $\boldsymbol I = \int_{t_1}^{t_2} \boldsymbol F {\mathrm d}t$ where $\boldsymbol F$ is force (item 4-9.1), $t$ is time (ISO 80000-3) and $[t_1, t_2]$ is considered time interval",4-10,Steven Jenkins,"August 20, 2026 10:48 PM",newton second (https://app.notion.com/p/newton-second-3c1b24cf917a80488ce2fa9a978d264a?pvs=21),vector I (https://app.notion.com/p/vector-I-3c1b24cf917a80c2942dec91193f0e0a?pvs=21),Derived
specific volume,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),reciprocal of mass density$ \rho$ (item 4-2): $v = \frac{1}{\rho}$,4-3,Steven Jenkins,"August 18, 2026 11:14 PM",cubic metre per kilogram (https://app.notion.com/p/cubic-metre-per-kilogram-3c1b24cf917a8010bebbd6415696869e?pvs=21),v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21),Derived
kinetic friction force,dynamic friction force (https://app.notion.com/p/dynamic-friction-force-3c2b24cf917a805c831ac5239b30a0eb?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),force (item 4-9.1) resisting the motion when a body slides on a surface,4-9.4,Steven Jenkins,"August 20, 2026 10:59 PM",newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),vector F_mu (https://app.notion.com/p/vector-F_mu-3c2b24cf917a809faadfe939bb57756e?pvs=21),Derived
static friction force,static friction (https://app.notion.com/p/static-friction-3c2b24cf917a80e2b18ad48e718d2d52?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),force (item 4-9.1) resisting the motion before a body starts to slide on a surface,4-9.3,Steven Jenkins,"August 20, 2026 10:59 PM",newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),vector F_s (https://app.notion.com/p/vector-F_s-3c2b24cf917a80668c9efc459fe782b5?pvs=21),Derived
rolling resistance,"rolling drag (https://app.notion.com/p/rolling-drag-3c2b24cf917a808ca07ceada01781f42?pvs=21), rolling friction force (https://app.notion.com/p/rolling-friction-force-3c2b24cf917a80108a6bd4108844c479?pvs=21)",ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),force (item 4-9.1) resisting the motion when a body rolls on a surface,4-9.5,Steven Jenkins,"August 20, 2026 11:00 PM",newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),vector F_rr (https://app.notion.com/p/vector-F_rr-3c2b24cf917a8037ad9cc9f30fdab25c?pvs=21),Derived
drag force,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),force (item 4-9.1) resisting the motion of a body in a fluid,4-9.6,Steven Jenkins,"August 20, 2026 7:18 AM",newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),vector F_D (https://app.notion.com/p/vector-F_D-3c2b24cf917a80fca9d6d63fd39c8ecd?pvs=21),Derived
angular momentum,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),vector (ISO 80000-2) quantity described by the vector product: $\mathrm L = \boldsymbol r \times \boldsymbol p$ where $\boldsymbol r$ is position vector (ISO 80000-3) with respect to the axis of rotation and $\boldsymbol p$ is momentum (item 4-8),4-11,Steven Jenkins,"August 20, 2026 10:48 PM",kilogram meter squared per second (https://app.notion.com/p/kilogram-meter-squared-per-second-3c2b24cf917a80a99ffded3ddfe71762?pvs=21),vector L (https://app.notion.com/p/vector-L-3c2b24cf917a800092cecae5069e3c6d?pvs=21),Derived
moment of force,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),vector (ISO 80000-2) quantity described by the vector product: $\boldsymbol M = \boldsymbol r \times \boldsymbol F$where $\boldsymbol r$ is position vector (ISO 80000-3) with respect to the axis of rotation and $\boldsymbol F$ is force (item 4-9.1),4-12.1,Steven Jenkins,"August 20, 2026 10:48 PM",newton metre (https://app.notion.com/p/newton-metre-3c2b24cf917a80ce906bde55a79cb7a9?pvs=21),vector M (https://app.notion.com/p/vector-M-3c2b24cf917a8054b5d7fbb35c8dddde?pvs=21),Derived
torque,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quantity described by the scalar product: $T = \boldsymbol M \cdot \boldsymbol e_{\mathrm Q}$ where $\boldsymbol M$ is moment of force (item 4-12.1) and $\boldsymbol e_{\mathrm Q}$ is unit vector of direction with respect to which the torque is considered,4-12.2,Steven Jenkins,"August 20, 2026 10:48 PM",newton metre (https://app.notion.com/p/newton-metre-3c2b24cf917a80ce906bde55a79cb7a9?pvs=21),"T (https://app.notion.com/p/T-3c0b24cf917a802d91cafa72ca21905f?pvs=21), M_Q (https://app.notion.com/p/M_Q-3c2b24cf917a807789a0d75a9970a3ee?pvs=21)",Derived
angular impulse,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"vector (ISO 80000-2) quantity describing the effect of moment of force during a time interval: $\boldsymbol H (t_1; t_2) = \int_{t_1}^{t_2} \boldsymbol M {\mathrm d}t$ where vec(M) is moment of force (item 4-12.1), $t$ is time (ISO 80000-3) and $[t_1, t_2]$ is considered time interval",4-13,Steven Jenkins,"August 20, 2026 10:49 PM",newton metre second (https://app.notion.com/p/newton-metre-second-3c2b24cf917a80d2b372dd32261e4f4d?pvs=21),vector H (https://app.notion.com/p/vector-H-3c2b24cf917a80a09020db22c7f0665e?pvs=21),Derived
gauge pressure,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),pressure $p$ (item 4-14.1) decremented by ambient pressure $p_{\mathrm amb}$: $p_{\mathrm e} = p - p_{\mathrm amb}$,4-14.2,Steven Jenkins,"August 20, 2026 10:49 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)",p_e (https://app.notion.com/p/p_e-3c2b24cf917a80a5af44c5a5de45c0a4?pvs=21),Derived
stress,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),tensor (ISO 80000-2) quantity representing state of tension of matter,4-15,Steven Jenkins,"August 20, 2026 9:58 AM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)",sigma (https://app.notion.com/p/sigma-3c0b24cf917a80608574ea2fb9cb972c?pvs=21),Derived
normal stress,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),scalar (ISO 80000-2) quantity describing surface action of a force into a body equal to: $σ_{\mathrm n} = \frac{\mathrm d F_{\mathrm n}}{\mathrm d A}$ where $F_n$ is the normal component of force (item 4-9.1) and $A$ is the area (ISO 80000-3) of the surface element,4-16.1,Steven Jenkins,"August 20, 2026 10:49 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)","sigma (https://app.notion.com/p/sigma-3c0b24cf917a80608574ea2fb9cb972c?pvs=21), sigma_n (https://app.notion.com/p/sigma_n-3c2b24cf917a8021823dfc7b7d0f12a5?pvs=21)",Derived
strain,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),tensor (ISO 80000-2) quantity representing the deformation of matter caused by stress,4-17.1,Steven Jenkins,"August 20, 2026 10:09 AM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),vector epsilon (https://app.notion.com/p/vector-epsilon-3c2b24cf917a808aa554f81e3ca09fc9?pvs=21),Derived
relative linear strain,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of change in length $\Delta l$ (ISO 80000-3) of an object and its length $l$ (ISO 80000-3): ε = (Δl)/l,4-17.2,Steven Jenkins,"August 20, 2026 10:49 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),"epsilon (https://app.notion.com/p/epsilon-3c2b24cf917a803da115ee39fcb3f8cc?pvs=21), (e) (https://app.notion.com/p/e-3c2b24cf917a80ac819ed0f7e072e143?pvs=21)",Derived
shear strain,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of parallel displacement $Δx$ (ISO 80000-3) of two surfaces of a layer and the thickness d (ISO 80000-3) of the layer: $\gamma = \frac{\Delta x}{d}$,4-17.3,Steven Jenkins,"August 20, 2026 10:49 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21),Derived
relative volume strain,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of change in volume $\Delta V$ (ISO 80000-3) of an object and its volume $V_0$ (ISO 80000-3): $\theta = \frac{\Delta V}{V_0}$,4-17.4,Steven Jenkins,"August 20, 2026 10:50 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),theta (https://app.notion.com/p/theta-3c0b24cf917a80ca9a08c4c1a53599c8?pvs=21),Derived
Poisson number,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of change in width $\Delta b$ (width is defined in ISO 80000-3) and change in length $\Delta l$ (length is defined in ISO 80000-3) of an object: $\mu = \frac{\Delta b}{\Delta l}$,4-18,Steven Jenkins,"August 20, 2026 10:50 PM",one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),,Derived
modulus of elasticity,Young modulus (https://app.notion.com/p/Young-modulus-3c2b24cf917a80a7947ad0d646dcf2fd?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of normal stress $\sigma$ (item 4-16.1) and relative linear strain $\epsilon$ (item 4-17.2): $E = \frac{\sigma}{\epsilon}$,4-19.1,Steven Jenkins,"August 20, 2026 10:50 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)","E (https://app.notion.com/p/E-3c2b24cf917a8091ae3ffc04b5bb74e0?pvs=21), E_m (https://app.notion.com/p/E_m-3c2b24cf917a800ba4b8ef6be5bd813f?pvs=21), Y (https://app.notion.com/p/Y-3c2b24cf917a80debfa8f01aab85a0df?pvs=21)",Derived
modulus of rigidity,shear modulus (https://app.notion.com/p/shear-modulus-3c2b24cf917a804ba799f417f4d0f670?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of shear stress $\tau$ (item 4-16.2) and shear strain $\gamma$ (item 4-17.3): $G = \frac{\tau}{\gamma}$,4-19.2,Steven Jenkins,"August 20, 2026 10:50 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)",G (https://app.notion.com/p/G-3c1b24cf917a800fa586ef43ff1aa3cc?pvs=21),Derived
modulus of compression,bulk modulus (https://app.notion.com/p/bulk-modulus-3c2b24cf917a803ea635e220f9eae86c?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),negative of the quotient of pressure $p$ (item 4-14.1) and relative volume strain $\theta$ (item 4-17.4): $K = -\frac{p}{\theta}$,4-19.3,Steven Jenkins,"August 20, 2026 10:51 PM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)","K (https://app.notion.com/p/K-3c2b24cf917a8024bcd9e7269dc73967?pvs=21), K_m (https://app.notion.com/p/K_m-3c2b24cf917a80aca1efd5fba850d7de?pvs=21), B (https://app.notion.com/p/B-3c0b24cf917a809aae9ced0a0509b1db?pvs=21)",Derived
