Quantity,Alternate Names,Defining Document,Description,Item,Last edited by,Last edited time,SI Units,Symbol,Type
pressure,,ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),The force applied perpendicular to a surface per unit area.,4-14.1,Steven Jenkins,"August 20, 2026 9:43 AM","pascal (https://app.notion.com/p/pascal-6de80161ba5e4212beaf2dd06b937a55?pvs=21), newton per square metre (https://app.notion.com/p/newton-per-square-metre-3c2b24cf917a80118182dfc67ef8a311?pvs=21)",p (https://app.notion.com/p/p-3c2b24cf917a80b19d6cea7fff8bcc05?pvs=21),Derived
electric charge,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),A fundamental property of matter; the quantity of electricity carried by a particle.,,Steven Jenkins,"August 14, 2026 3:12 PM",coulomb (https://app.notion.com/p/coulomb-cb11c9c8478243fd8b33843f9a26a02a?pvs=21),,Derived
electric potential,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The work done per unit charge to move a charge between two points; electromotive force.,,Steven Jenkins,"August 14, 2026 3:12 PM",volt (https://app.notion.com/p/volt-d3ca008ee9fb41929ba8d8daaab4aa69?pvs=21),,Derived
frequency,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of period duration (item 3‑14),3-17.1,Steven Jenkins,"August 18, 2026 10:37 AM",hertz (https://app.notion.com/p/hertz-08d5bde41f744ad185c79808da1abcd5?pvs=21),"f (https://app.notion.com/p/f-3c0b24cf917a805fa880f6d6862adc65?pvs=21), nu (https://app.notion.com/p/nu-3c0b24cf917a8052855ace4bf7b09491?pvs=21)",Derived
angular measure,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"measure of a geometric figure, called plane angle, formed by two rays, called the sides of the plane angle, emanating from a common point, called the vertex of the plane angle",3-5,Steven Jenkins,"August 18, 2026 10:06 AM",radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),"alpha (https://app.notion.com/p/alpha-3c0b24cf917a80218e3ad5c942545d4e?pvs=21), beta (https://app.notion.com/p/beta-3c0b24cf917a80cf9ecceee397066adb?pvs=21), gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21)",Derived
solid angular measure,,ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"measure of a conical geometric figure, called solid angle, formed by all rays, originating from a common point, called the vertex of the solid angle, and passing through the points of a closed, non-self-intersecting curve in space considered as the border of a surface",3-8,Steven Jenkins,"August 18, 2026 10:15 AM",steradian (https://app.notion.com/p/steradian-8f10cc88eea34028a2a2ae190060dfc1?pvs=21),Omega (https://app.notion.com/p/Omega-3c0b24cf917a80969c4cfa16d6b7d01e?pvs=21),Derived
illuminance,,ISO 80000-7 (https://app.notion.com/p/ISO-80000-7-3f5c34443dde4c8a86a863db6c59f421?pvs=21),The luminous flux incident per unit area of a surface; how much light falls on a given area.,,Steven Jenkins,"August 14, 2026 3:12 PM",lux (https://app.notion.com/p/lux-4a20e929083042fdbea05b97dfe6c964?pvs=21),,Derived
magnetic flux density,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The magnetic force per unit charge per unit velocity; the density of magnetic flux through a surface. Also called magnetic induction.,,Steven Jenkins,"August 14, 2026 3:12 PM",tesla (https://app.notion.com/p/tesla-ece0d9e3224943eca142cb63f60bb0b7?pvs=21),,Derived
magnetic flux,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The total magnetic field passing through a given surface; the surface integral of the magnetic flux density.,,Steven Jenkins,"August 14, 2026 3:12 PM",weber (https://app.notion.com/p/weber-9481f7ecf5834d09a07acc67c4ee2cf3?pvs=21),,Derived
inductance,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The property of a conductor by which a change in current induces an electromotive force (EMF) in the conductor itself or in a nearby conductor.,,Steven Jenkins,"August 14, 2026 3:12 PM",henry (https://app.notion.com/p/henry-038964ab06094854a7892a9fee18716b?pvs=21),,Derived
luminous flux,,ISO 80000-7 (https://app.notion.com/p/ISO-80000-7-3f5c34443dde4c8a86a863db6c59f421?pvs=21),"The total perceived power of light emitted by a source, weighted by the luminosity function to reflect human eye sensitivity.",,Steven Jenkins,"August 14, 2026 3:12 PM",lumen (https://app.notion.com/p/lumen-a4ad0e1dd915484e81280aad4f37f7f6?pvs=21),,Derived
absorbed dose,kerma (https://app.notion.com/p/kerma-3bfb24cf917a80cd846de44cb35e1d34?pvs=21),ISO 80000-10 (https://app.notion.com/p/ISO-80000-10-43276c559571474cb99432ee2fe109e7?pvs=21),The mean energy deposited by ionizing radiation per unit mass of matter; used in radiation physics and dosimetry.,,Steven Jenkins,"August 14, 2026 3:12 PM",gray (https://app.notion.com/p/gray-154bf830ff4f423c9e3bb2c3ec384cbf?pvs=21),,Derived
catalytic activity,,ISO 80000-9 (https://app.notion.com/p/ISO-80000-9-118d95dffdd445ec88175fa3a35c95c9?pvs=21),The increase in rate of a chemical reaction caused by a catalyst; the amount of substance converted per unit time.,,Steven Jenkins,"August 14, 2026 3:12 PM",katal (https://app.notion.com/p/katal-7f11e3168afa4b0aa56f6cba391198e5?pvs=21),,Derived
equivalent dose,,ISO 80000-10 (https://app.notion.com/p/ISO-80000-10-43276c559571474cb99432ee2fe109e7?pvs=21),The absorbed dose weighted by radiation type to reflect biological harm; used in radiological protection. Dimensionally equal to absorbed dose but biologically contextualized.,,Steven Jenkins,"August 14, 2026 3:12 PM",sievert (https://app.notion.com/p/sievert-74ede9680cf4471c902e00e3abd7d4af?pvs=21),,Derived
electrical conductance,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The ease with which electric current passes through a conductor; the reciprocal of electrical resistance.,,Steven Jenkins,"August 14, 2026 3:12 PM",siemens (https://app.notion.com/p/siemens-f07ea4b0ba374205a336edb051d1bcb6?pvs=21),,Derived
capacitance,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The ability of a system to store electric charge per unit electric potential difference.,,Steven Jenkins,"August 16, 2026 12:37 AM",farad (https://app.notion.com/p/farad-9bd3530e60524720aad174ec12f7f97c?pvs=21),,Derived
electrical resistance,,ISO 80000-6 (https://app.notion.com/p/ISO-80000-6-a1d9eab4687e44e1a85a1269d9c17f42?pvs=21),The opposition that a conductor presents to the flow of electric current for a given potential difference; the reciprocal of electrical conductance.,,Steven Jenkins,"August 16, 2026 12:42 AM",ohm (https://app.notion.com/p/ohm-1073ec092209487194eae621d6f89d29?pvs=21),,Derived
activity of a radionuclide,,ISO 80000-10 (https://app.notion.com/p/ISO-80000-10-43276c559571474cb99432ee2fe109e7?pvs=21),The number of nuclear decays (disintegrations) occurring in a radioactive sample per unit time; a measure of radioactivity.,,Steven Jenkins,"August 16, 2026 12:45 AM",becquerel (https://app.notion.com/p/becquerel-e6333109f3a148569d3bf66614f8727e?pvs=21),,Derived
