Name,LaTeX,📐 ISQ Quantities,Last edited by,Last edited time
I_v,$I_v$,luminous intensity (https://app.notion.com/p/luminous-intensity-cb38b21d289149768d1ba6a3da6db5bc?pvs=21),Steven Jenkins,"August 18, 2026 9:44 PM"
T,$T$,"thermodynamic temperature (https://app.notion.com/p/thermodynamic-temperature-3563a23de696430dba1318bc426334f3?pvs=21), period duration (https://app.notion.com/p/period-duration-3c0b24cf917a80b5ba2ae32422434844?pvs=21), time constant (https://app.notion.com/p/time-constant-3c0b24cf917a8060b1fcce89ecf3fd8a?pvs=21), torque (https://app.notion.com/p/torque-3c2b24cf917a80e58d2ce38526bec133?pvs=21)",Steven Jenkins,"August 18, 2026 9:57 AM"
m,$m$,mass (https://app.notion.com/p/mass-3e1ff023e9d445899881756103f798f5?pvs=21),Steven Jenkins,"August 18, 2026 9:59 AM"
t,$t$,"duration (https://app.notion.com/p/duration-3639ccb0ce424e6eac600df6c261ab15?pvs=21), Celsius temperature (https://app.notion.com/p/Celsius-temperature-3c4b24cf917a801b8c51d860a7935f86?pvs=21)",Steven Jenkins,"August 18, 2026 9:59 AM"
S,$S$,"area (https://app.notion.com/p/area-3c0b24cf917a80948cf9df8690dcfe64?pvs=21), action (https://app.notion.com/p/action-3c3b24cf917a80d2922dc40c3efd73a5?pvs=21)",Steven Jenkins,"August 20, 2026 11:30 PM"
A,$A$,"area (https://app.notion.com/p/area-3c0b24cf917a80948cf9df8690dcfe64?pvs=21), mechanical work (https://app.notion.com/p/mechanical-work-484e3ebc766846ad841853990b0e3526?pvs=21)",Steven Jenkins,"August 18, 2026 10:00 AM"
kappa,$\kappa$,"curvature (https://app.notion.com/p/curvature-3c0b24cf917a800d910ae19f93d69212?pvs=21), compressibility (https://app.notion.com/p/compressibility-3c2b24cf917a80eca66ae115b6dd9df5?pvs=21)",Steven Jenkins,"August 18, 2026 10:00 AM"
Delta vector r,$\Delta {\boldsymbol r}$,displacement (https://app.notion.com/p/displacement-3c0b24cf917a807a8266c0d59f1ad578?pvs=21),Steven Jenkins,"August 18, 2026 10:32 AM"
vector r,${\boldsymbol r}$,position vector (https://app.notion.com/p/position-vector-3c0b24cf917a8009b24dc1f380c57be9?pvs=21),Steven Jenkins,"August 18, 2026 10:32 AM"
rho,$\rho$,"radial distance (https://app.notion.com/p/radial-distance-3c0b24cf917a8054bf0cf1247a03a76a?pvs=21), radius of curvature (https://app.notion.com/p/radius-of-curvature-3c0b24cf917a80fd946dfc558ccee9cd?pvs=21), mass density (https://app.notion.com/p/mass-density-3c0b24cf917a802e9e9acd29964ff008?pvs=21)",Steven Jenkins,"August 18, 2026 10:00 AM"
r_Q,${\boldsymbol r}_Q$,radial distance (https://app.notion.com/p/radial-distance-3c0b24cf917a8054bf0cf1247a03a76a?pvs=21),Steven Jenkins,"August 18, 2026 9:44 PM"
s,$s$,path length (https://app.notion.com/p/path-length-3c0b24cf917a8060b327d73155cc8440?pvs=21),Steven Jenkins,"August 18, 2026 10:01 AM"
R,$R$,radius (https://app.notion.com/p/radius-3c0b24cf917a80398d37d9478b4f3118?pvs=21),Steven Jenkins,"August 18, 2026 10:01 AM"
r,$r$,"radius (https://app.notion.com/p/radius-3c0b24cf917a80398d37d9478b4f3118?pvs=21), distance (https://app.notion.com/p/distance-3c0b24cf917a807889e2f4a8cc76a6ea?pvs=21)",Steven Jenkins,"August 18, 2026 10:01 AM"
D,$D$,diameter (https://app.notion.com/p/diameter-3c0b24cf917a802a821ddc88b63514d6?pvs=21),Steven Jenkins,"August 18, 2026 10:01 AM"
delta,$\delta$,"thickness (https://app.notion.com/p/thickness-3c0b24cf917a80adb1b9e5b7be0f7fd1?pvs=21), damping coefficient (https://app.notion.com/p/damping-coefficient-3c0b24cf917a80428cead16a5a83c19b?pvs=21)",Steven Jenkins,"August 18, 2026 10:01 AM"
d,$d$,"diameter (https://app.notion.com/p/diameter-3c0b24cf917a802a821ddc88b63514d6?pvs=21), distance (https://app.notion.com/p/distance-3c0b24cf917a807889e2f4a8cc76a6ea?pvs=21), thickness (https://app.notion.com/p/thickness-3c0b24cf917a80adb1b9e5b7be0f7fd1?pvs=21), relative mass density (https://app.notion.com/p/relative-mass-density-3c0b24cf917a8000ac1ae04ee8cb3bfc?pvs=21)",Steven Jenkins,"August 18, 2026 10:02 AM"
H,$H$,height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21),Steven Jenkins,"August 18, 2026 10:02 AM"
h,$h$,height (https://app.notion.com/p/height-3c0b24cf917a805a91d6c10c8d76471d?pvs=21),Steven Jenkins,"August 18, 2026 10:03 AM"
B,$B$,"width (https://app.notion.com/p/width-3c0b24cf917a80dda43bc3e89d696923?pvs=21), modulus of compression (https://app.notion.com/p/modulus-of-compression-3c2b24cf917a80c5b3aacae8e13e4d11?pvs=21)",Steven Jenkins,"August 20, 2026 11:22 AM"
b,$b$,width (https://app.notion.com/p/width-3c0b24cf917a80dda43bc3e89d696923?pvs=21),Steven Jenkins,"August 18, 2026 10:03 AM"
N,$N$,rotation (https://app.notion.com/p/rotation-3c0b24cf917a8051a754d0ffc137578e?pvs=21),Steven Jenkins,"August 18, 2026 10:35 AM"
tau,$\tau$,"time constant (https://app.notion.com/p/time-constant-3c0b24cf917a8060b1fcce89ecf3fd8a?pvs=21), shear stress (https://app.notion.com/p/shear-stress-3c0b24cf917a80399594d148608fd42b?pvs=21)",Steven Jenkins,"August 18, 2026 10:34 AM"
vector alpha,${\boldsymbol \alpha}$,angular acceleration (https://app.notion.com/p/angular-acceleration-3c0b24cf917a80f5ad3cdb2352dd33df?pvs=21),Steven Jenkins,"August 18, 2026 10:33 AM"
vector omega,${\boldsymbol \omega}$,angular velocity (https://app.notion.com/p/angular-velocity-3c0b24cf917a8008b79eddd4f544ea28?pvs=21),Steven Jenkins,"August 18, 2026 10:32 AM"
vector a,${\boldsymbol a}$,acceleration (https://app.notion.com/p/acceleration-930a29bda1dd4636ba0a2fb756f7a81b?pvs=21),Steven Jenkins,"August 18, 2026 10:32 AM"
v,$v$,"speed (https://app.notion.com/p/speed-3bfb24cf917a80358670d4ebb7300133?pvs=21), phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21), specific volume (https://app.notion.com/p/specific-volume-3c1b24cf917a80f0bfa1f03a0c92f35c?pvs=21), kinematic viscosity (https://app.notion.com/p/kinematic-viscosity-3c2b24cf917a8098972ffe2c4cc778b2?pvs=21)",Steven Jenkins,"August 18, 2026 11:08 PM"
(v),$(v)$,velocity (https://app.notion.com/p/velocity-7588f9e6bb1d437e90087ee207cfcfbd?pvs=21),Steven Jenkins,"August 18, 2026 10:18 AM"
vector v,${\boldsymbol v}$,velocity (https://app.notion.com/p/velocity-7588f9e6bb1d437e90087ee207cfcfbd?pvs=21),Steven Jenkins,"August 18, 2026 9:45 PM"
Omega,$\Omega$,solid angular measure (https://app.notion.com/p/solid-angular-measure-c47e246c4418476795cf05f4699364c4?pvs=21),Steven Jenkins,"August 18, 2026 10:15 AM"
