Name,LaTeX,Last edited by,Last edited time,📐 ISQ Quantities
beta,$\beta$,Steven Jenkins,"August 18, 2026 10:07 AM","angular measure (https://app.notion.com/p/angular-measure-857d6f7e1f5e4a059bc2c801ac2c0c0c?pvs=21), phase coefficient (https://app.notion.com/p/phase-coefficient-3c0b24cf917a80d8bec0e26e16f15ff2?pvs=21)"
gamma,$\alpha$,Steven Jenkins,"August 18, 2026 10:06 AM","angular measure (https://app.notion.com/p/angular-measure-857d6f7e1f5e4a059bc2c801ac2c0c0c?pvs=21), propagation coefficient (https://app.notion.com/p/propagation-coefficient-3c0b24cf917a804bbf5ffa0c5807eba8?pvs=21), shear strain (https://app.notion.com/p/shear-strain-3c2b24cf917a808494b2c69b2e9f2c0b?pvs=21), surface tension (https://app.notion.com/p/surface-tension-3c2b24cf917a80459041fec2673f4779?pvs=21), cubic expansion coefficient (https://app.notion.com/p/cubic-expansion-coefficient-3c4b24cf917a8019bf8df4a2d5dbeecf?pvs=21)"
theta,$\theta$,Steven Jenkins,"August 18, 2026 10:11 AM","rotational displacement (https://app.notion.com/p/rotational-displacement-3c0b24cf917a808ca18becd92a0e2c83?pvs=21), relative volume strain (https://app.notion.com/p/relative-volume-strain-3c2b24cf917a80249d65c83a66133ef4?pvs=21), Celsius temperature (https://app.notion.com/p/Celsius-temperature-3c4b24cf917a801b8c51d860a7935f86?pvs=21)"
phi,$\phi$,Steven Jenkins,"August 18, 2026 10:11 AM","phase angle (https://app.notion.com/p/phase-angle-3c0b24cf917a809290b8fdd7c6e29b96?pvs=21), rotational displacement (https://app.notion.com/p/rotational-displacement-3c0b24cf917a808ca18becd92a0e2c83?pvs=21)"
Omega,$\Omega$,Steven Jenkins,"August 18, 2026 10:15 AM",solid angular measure (https://app.notion.com/p/solid-angular-measure-c47e246c4418476795cf05f4699364c4?pvs=21)
vector v,${\boldsymbol v}$,Steven Jenkins,"August 18, 2026 9:45 PM",velocity (https://app.notion.com/p/velocity-7588f9e6bb1d437e90087ee207cfcfbd?pvs=21)
(v),$(v)$,Steven Jenkins,"August 18, 2026 10:18 AM",velocity (https://app.notion.com/p/velocity-7588f9e6bb1d437e90087ee207cfcfbd?pvs=21)
v,$v$,Steven Jenkins,"August 18, 2026 11:08 PM","speed (https://app.notion.com/p/speed-3bfb24cf917a80358670d4ebb7300133?pvs=21), phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21), specific volume (https://app.notion.com/p/specific-volume-3c1b24cf917a80f0bfa1f03a0c92f35c?pvs=21), kinematic viscosity (https://app.notion.com/p/kinematic-viscosity-3c2b24cf917a8098972ffe2c4cc778b2?pvs=21)"
vector a,${\boldsymbol a}$,Steven Jenkins,"August 18, 2026 10:32 AM",acceleration (https://app.notion.com/p/acceleration-930a29bda1dd4636ba0a2fb756f7a81b?pvs=21)
vector omega,${\boldsymbol \omega}$,Steven Jenkins,"August 18, 2026 10:32 AM",angular velocity (https://app.notion.com/p/angular-velocity-3c0b24cf917a8008b79eddd4f544ea28?pvs=21)
vector alpha,${\boldsymbol \alpha}$,Steven Jenkins,"August 18, 2026 10:33 AM",angular acceleration (https://app.notion.com/p/angular-acceleration-3c0b24cf917a80f5ad3cdb2352dd33df?pvs=21)
tau,$\tau$,Steven Jenkins,"August 18, 2026 10:34 AM","time constant (https://app.notion.com/p/time-constant-3c0b24cf917a8060b1fcce89ecf3fd8a?pvs=21), shear stress (https://app.notion.com/p/shear-stress-3c0b24cf917a80399594d148608fd42b?pvs=21)"
N,$N$,Steven Jenkins,"August 18, 2026 10:35 AM",rotation (https://app.notion.com/p/rotation-3c0b24cf917a8051a754d0ffc137578e?pvs=21)
eta,$\eta$,Steven Jenkins,"August 18, 2026 10:37 AM","rotational frequency (https://app.notion.com/p/rotational-frequency-3c0b24cf917a8048982eff8488ec9d9c?pvs=21), dynamic viscosity (https://app.notion.com/p/dynamic-viscosity-3c2b24cf917a808ebaa3cb06093be146?pvs=21), efficiency (https://app.notion.com/p/efficiency-3c2b24cf917a805a8952ce96d51624ad?pvs=21)"
nu,$\nu$,Steven Jenkins,"August 18, 2026 10:37 AM",frequency (https://app.notion.com/p/frequency-e5df97e5bc5e4bf5a508a7e2d2ae5411?pvs=21)
f,$f$,Steven Jenkins,"August 18, 2026 10:37 AM",frequency (https://app.notion.com/p/frequency-e5df97e5bc5e4bf5a508a7e2d2ae5411?pvs=21)
omega,$\omega$,Steven Jenkins,"August 18, 2026 10:48 AM",angular frequency (https://app.notion.com/p/angular-frequency-3c0b24cf917a802791a9c0e7f545a8e6?pvs=21)
lambda,$\lambda$,Steven Jenkins,"August 18, 2026 10:51 AM",wavelength (https://app.notion.com/p/wavelength-3c0b24cf917a800985adc6f1a9c69ed8?pvs=21)
sigma,$\sigma$,Steven Jenkins,"August 18, 2026 11:55 AM","repetency (https://app.notion.com/p/repetency-3c0b24cf917a8019b12afd8eca0767c8?pvs=21), stress (https://app.notion.com/p/stress-3c2b24cf917a803bb8d2ef383ecd6e96?pvs=21), normal stress (https://app.notion.com/p/normal-stress-3c2b24cf917a80528976f3243f3e6297?pvs=21), surface tension (https://app.notion.com/p/surface-tension-3c2b24cf917a80459041fec2673f4779?pvs=21)"
v bar,$\bar{v}$,Steven Jenkins,"August 18, 2026 11:54 AM",repetency (https://app.notion.com/p/repetency-3c0b24cf917a8019b12afd8eca0767c8?pvs=21)
vector k,${\boldsymbol k}$,Steven Jenkins,"August 18, 2026 11:59 AM",wave vector (https://app.notion.com/p/wave-vector-3c0b24cf917a800296cfd473c1d5d772?pvs=21)
k,$k$,Steven Jenkins,"August 18, 2026 12:01 PM",angular repetency (https://app.notion.com/p/angular-repetency-3c0b24cf917a802882c0f90a754bf853?pvs=21)
c,$c$,Steven Jenkins,"August 18, 2026 12:17 PM",phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21)
c_phi,$c_\phi$,Steven Jenkins,"August 20, 2026 10:05 AM",phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21)
v sub phi,$v_\phi$,Steven Jenkins,"August 18, 2026 12:16 PM",phase velocity (https://app.notion.com/p/phase-velocity-3c0b24cf917a8014aafdd2ab7d3b7078?pvs=21)
c_g,$c_{\rm g}$,Steven Jenkins,"August 20, 2026 10:05 AM",group velocity (https://app.notion.com/p/group-velocity-3c0b24cf917a808a8690db827c5d9a58?pvs=21)
v sub g,$v_{\rm g}$,Steven Jenkins,"August 18, 2026 12:20 PM",group velocity (https://app.notion.com/p/group-velocity-3c0b24cf917a808a8690db827c5d9a58?pvs=21)
Lambda,$\Lambda$,Steven Jenkins,"August 18, 2026 12:25 PM",logarithmic decrement (https://app.notion.com/p/logarithmic-decrement-3c0b24cf917a80bbae7ae130bd442258?pvs=21)
rho_A,$\rho_A$,Steven Jenkins,"August 18, 2026 9:45 PM",surface mass density (https://app.notion.com/p/surface-mass-density-3c1b24cf917a80269a29f1c5309c29f5?pvs=21)
rho_l,$\rho_l$,Steven Jenkins,"August 18, 2026 9:45 PM",linear mass density density (https://app.notion.com/p/linear-mass-density-density-3c1b24cf917a80da9141c6027d9ec629?pvs=21)
vector p,$\boldsymbol p$,Steven Jenkins,"August 18, 2026 9:35 PM",momentum (https://app.notion.com/p/momentum-3c1b24cf917a808ea97fc672a1fd938d?pvs=21)
vector F,$\boldsymbol F$,Steven Jenkins,"August 18, 2026 9:37 PM",force (https://app.notion.com/p/force-2c13ac89368d4e81aafd213bd889562e?pvs=21)
vector F_g,$\boldsymbol F_\mathrm g$,Steven Jenkins,"August 18, 2026 9:43 PM",weight (https://app.notion.com/p/weight-3c1b24cf917a80a797b7ca4f94c4b8e4?pvs=21)
G,$G$,Steven Jenkins,"August 18, 2026 9:52 PM",modulus of rigidity (https://app.notion.com/p/modulus-of-rigidity-3c2b24cf917a80dbaa1ac1a861b91116?pvs=21)
vector I,$\boldsymbol I$,Steven Jenkins,"August 18, 2026 10:20 PM",impulse (https://app.notion.com/p/impulse-3c1b24cf917a8046a454ef8047f80e9f?pvs=21)
rho_m,$\rho_m$,Steven Jenkins,"August 18, 2026 11:00 PM",mass density (https://app.notion.com/p/mass-density-3c0b24cf917a802e9e9acd29964ff008?pvs=21)
vector J,$\boldsymbol J$,Steven Jenkins,"August 20, 2026 12:07 AM",moment of inertia (https://app.notion.com/p/moment-of-inertia-af03ebb9f77c44da985cccfde87d3751?pvs=21)
vector F_s,$\boldsymbol F_{\mathrm s}$,Steven Jenkins,"August 20, 2026 7:21 AM",static friction force (https://app.notion.com/p/static-friction-force-3c2b24cf917a8021ae63ce4a1f0dc75e?pvs=21)
vector F_mu,$\boldsymbol F_{\mathrm \mu}$,Steven Jenkins,"August 20, 2026 7:20 AM",kinetic friction force (https://app.notion.com/p/kinetic-friction-force-3c2b24cf917a80f9a7e8e16e50aae95e?pvs=21)
vector F_rr,$\boldsymbol F_{\mathrm rr}$,Steven Jenkins,"August 20, 2026 7:21 AM",rolling resistance (https://app.notion.com/p/rolling-resistance-3c2b24cf917a8032845ee710e6227eed?pvs=21)
vector F_D,$\boldsymbol F_{\mathrm D}$,Steven Jenkins,"August 20, 2026 7:19 AM",drag force (https://app.notion.com/p/drag-force-3c2b24cf917a808bb8edf4e677d1d118?pvs=21)
vector M,$\boldsymbol M$,Steven Jenkins,"August 20, 2026 8:11 AM",moment of force (https://app.notion.com/p/moment-of-force-3c2b24cf917a8063b26cdd861ee00967?pvs=21)
