Item,Quantity,Alternate Names,SI Units,Defining Document,Description,Symbol,Type,Last edited by,Last edited time
3-3,area,,metre squared (https://app.notion.com/p/metre-squared-3c0b24cf917a80049ac9e8564d14a5f9?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),extent of a two‑dimensional geometrical shape,"A (https://app.notion.com/p/A-3c0b24cf917a8076acb9e0a17fec669c?pvs=21), S (https://app.notion.com/p/S-3c0b24cf917a80e6a616e5975fe3e900?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 9:21 AM"
3-4,volume,,metre cubed (https://app.notion.com/p/metre-cubed-3c0b24cf917a806d81d0cf2464f80b33?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"extent of a three‑dimensional geometrical
shape","V (https://app.notion.com/p/V-3c0b24cf917a80799652da0a3fb7ab27?pvs=21), (S) (https://app.notion.com/p/S-3c0b24cf917a800f8630c8ef7766f0b2?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 10:05 AM"
3-5,angular measure,,radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"measure of a geometric figure, called plane angle, formed by two rays, called the sides of the plane angle, emanating from a common point, called the vertex of the plane angle","alpha (https://app.notion.com/p/alpha-3c0b24cf917a80218e3ad5c942545d4e?pvs=21), beta (https://app.notion.com/p/beta-3c0b24cf917a80cf9ecceee397066adb?pvs=21), gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 10:06 AM"
3-6,rotational displacement,angular displacement (https://app.notion.com/p/angular-displacement-3c0b24cf917a8010a63ff8f1ac9e0f97?pvs=21),radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"quotient of the traversed circular path length
(item 3-1.7) of a point in space during a rotation and its distance (item 3-1.8) from the axis
or centre of rotation","theta (https://app.notion.com/p/theta-3c0b24cf917a80ca9a08c4c1a53599c8?pvs=21), phi (https://app.notion.com/p/phi-3c0b24cf917a8098ba8de52d78b01dc3?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 11:49 AM"
3-7,phase angle,,radian (https://app.notion.com/p/radian-652980a38d8846eb88db734b2829a7f8?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"angular measure (item 3-5) between the
positive real axis and the radius of the polar
representation of the complex number in the
complex plan",phi (https://app.notion.com/p/phi-3c0b24cf917a8098ba8de52d78b01dc3?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:50 AM"
3-8,solid angular measure,,steradian (https://app.notion.com/p/steradian-8f10cc88eea34028a2a2ae190060dfc1?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"measure of a conical geometric figure, called solid angle, formed by all rays, originating from a common point, called the vertex of the solid angle, and passing through the points of a closed, non-self-intersecting curve in space considered as the border of a surface",Omega (https://app.notion.com/p/Omega-3c0b24cf917a80969c4cfa16d6b7d01e?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:15 AM"
3-9,duration,time (https://app.notion.com/p/time-3c0b24cf917a8094b1a1e5aeb378bb9c?pvs=21),second (https://app.notion.com/p/second-270c1bcf3b5b4cc7ba5d7e47c98462b9?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),measure of the time difference between two events,t (https://app.notion.com/p/t-3c0b24cf917a802fa257c437b733ae0c?pvs=21),Base,Steven Jenkins,"August 18, 2026 9:21 AM"
3-10.1,velocity,,metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),vector (ISO 80000-2) quantity giving the rate of change of a position vector (item 3‑1.10),"vector v (https://app.notion.com/p/vector-v-3c0b24cf917a80858dbfeb1cf2574d7c?pvs=21), (v) (https://app.notion.com/p/v-3c0b24cf917a804d981aeed998b4a1e9?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 10:17 AM"
3-10.2,speed,,metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),magnitude (ISO 80000-2) of the velocity (item 3.10.1),v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:19 AM"
3-11,acceleration,,metre per square second (https://app.notion.com/p/metre-per-square-second-3bfb24cf917a809c94d0d8a1e35ddc1a?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),vector (ISO 80000-2) quantity giving the rate of change of velocity (item 3‑10),vector a (https://app.notion.com/p/vector-a-3c0b24cf917a8050a1c4def09109d724?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:23 AM"
3-12,angular velocity,,radian per square second (https://app.notion.com/p/radian-per-square-second-3c0b24cf917a80bcaf52f4f501b2ca9b?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector (ISO 80000-2) quantity giving the rate
of change of the rotational displacement (item
3‑6) as its magnitude (ISO 80000-2) and with
a direction equal to the direction of the axis of
rotation",vector omega (https://app.notion.com/p/vector-omega-3c0b24cf917a8021a340cdd269fc3bce?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:31 AM"
3-13,angular acceleration,,radian per second cubed (https://app.notion.com/p/radian-per-second-cubed-3c0b24cf917a80938475c8b14d1559d6?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),vector (ISO 80000-2) quantity giving the rate of change of velocity (item 3‑10),vector alpha (https://app.notion.com/p/vector-alpha-3c0b24cf917a8051aac8c4ac734c5d11?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:33 AM"
3-14,period duration,period (https://app.notion.com/p/period-3c0b24cf917a8071a598d4ce92cc441f?pvs=21),second (https://app.notion.com/p/second-270c1bcf3b5b4cc7ba5d7e47c98462b9?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"duration (item 3‑9) of one cycle of a periodic
event",T (https://app.notion.com/p/T-3c0b24cf917a802d91cafa72ca21905f?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:34 AM"
3-15,time constant,,second (https://app.notion.com/p/second-270c1bcf3b5b4cc7ba5d7e47c98462b9?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"parameter characterizing the response to a
step input of a first‑order, linear time‑invariant system","tau (https://app.notion.com/p/tau-3c0b24cf917a804ebf33dc2d87685fba?pvs=21), T (https://app.notion.com/p/T-3c0b24cf917a802d91cafa72ca21905f?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 10:34 AM"
3-16,rotation,,one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),number of revolutions,N (https://app.notion.com/p/N-3c0b24cf917a802b8310cd117cebb9d4?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:35 AM"
3-17.1,frequency,,hertz (https://app.notion.com/p/hertz-08d5bde41f744ad185c79808da1abcd5?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of period duration (item 3‑14),"f (https://app.notion.com/p/f-3c0b24cf917a805fa880f6d6862adc65?pvs=21), nu (https://app.notion.com/p/nu-3c0b24cf917a8052855ace4bf7b09491?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 10:37 AM"
3-17.2,rotational frequency,,one per second (https://app.notion.com/p/one-per-second-3c0b24cf917a8049b900e74f2e67ca8f?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),rate of change of rotation (item 3-16),eta (https://app.notion.com/p/eta-3c0b24cf917a80b98fadf7d23a8cd10b?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:45 AM"
3-18,angular frequency,,radian per second (https://app.notion.com/p/radian-per-second-3c0b24cf917a80ee863dcea0635a8964?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),rate of change of the phase angle (item 3-7),omega (https://app.notion.com/p/omega-3c0b24cf917a80a79bc1f9c24917d804?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:51 AM"
3-19,wavelength,,metre (https://app.notion.com/p/metre-6c3eaa0293c840979107f4e8361bae3b?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),length (item 3-1.1) of the repetition interval of a wave,lambda (https://app.notion.com/p/lambda-3c0b24cf917a8067b5dbf4416d8e1eb0?pvs=21),Derived,Steven Jenkins,"August 18, 2026 10:51 AM"
3-20,repetency,wavenumber (https://app.notion.com/p/wavenumber-3c0b24cf917a8033a15fd87d52046ac2?pvs=21),one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of the wavelength (item 3-19),"sigma (https://app.notion.com/p/sigma-3c0b24cf917a80608574ea2fb9cb972c?pvs=21), v bar (https://app.notion.com/p/v-bar-3c0b24cf917a8043bdecea9fae0314a4?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 11:58 AM"
3-21,wave vector,,one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),"vector normal to the surfaces of constant phase angle (item 3-7) of a wave, with the magnitude (ISO 80000-2) of repetency (item 3-20)",vector k (https://app.notion.com/p/vector-k-3c0b24cf917a809fb6a3dccf01eb2f03?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:58 AM"
3-22,angular repetency,angular wavenumber (https://app.notion.com/p/angular-wavenumber-3c0b24cf917a80d0882adcef76d3e7be?pvs=21),one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),magnitude (ISO 80000-2) of the wave vector (item 3-21),k (https://app.notion.com/p/k-3c0b24cf917a8053bf4dc91b1be9916c?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:15 PM"
3-23.1,phase velocity,phase speed (https://app.notion.com/p/phase-speed-3c0b24cf917a8048b15afac1ff9aee1f?pvs=21),metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),speed with which the phase angle (item 3-7) of a wave propagates in space,"c (https://app.notion.com/p/c-3c0b24cf917a80849027e9747ba1dfc6?pvs=21), v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21), c_phi (https://app.notion.com/p/c_phi-3c0b24cf917a8016bf76d81cbd74cee7?pvs=21), v sub phi (https://app.notion.com/p/v-sub-phi-3c0b24cf917a803c9079c9a1a75228e2?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 12:16 PM"
3-23.2,group velocity,group speed (https://app.notion.com/p/group-speed-3c0b24cf917a8012982ec01dfc39ddaf?pvs=21),metre per second (https://app.notion.com/p/metre-per-second-3bfb24cf917a80c5b054f83c93221d82?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),speed with which the envelope of a wave propagates in space,"c_g (https://app.notion.com/p/c_g-3c0b24cf917a80d2bc9dd22adf9d7fbe?pvs=21), v sub g (https://app.notion.com/p/v-sub-g-3c0b24cf917a804e9b33db29db88521e?pvs=21)",Derived,Steven Jenkins,"August 18, 2026 12:19 PM"
3-24,damping coefficient,,one per second (https://app.notion.com/p/one-per-second-3c0b24cf917a8049b900e74f2e67ca8f?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),inverse of the time constant (item 3-15) of an exponentially varying quantity,delta (https://app.notion.com/p/delta-3c0b24cf917a80adac59e85a8ac1b6f9?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:23 PM"
3-25,logarithmic decrement,,one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),product of damping coefficient (item 3-24) and period duration (item 3-14),Lambda (https://app.notion.com/p/Lambda-3c0b24cf917a80a88c96d626df6f8ee1?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:24 PM"
3-26.1,attenuation,extinction (https://app.notion.com/p/extinction-3c0b24cf917a80c58667c4e9f97c621e?pvs=21),one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),gradual decrease in magnitude (ISO 80000-2) of any kind of flux through a medium,alpha (https://app.notion.com/p/alpha-3c0b24cf917a80218e3ad5c942545d4e?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:27 PM"
3-26.2,phase coefficient,,radian per metre (https://app.notion.com/p/radian-per-metre-3c0b24cf917a80248095dcea4e092485?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),change of phase angle (item 3-7) with the length (item 3-1.1) along the path travelled by a plane wave,beta (https://app.notion.com/p/beta-3c0b24cf917a80cf9ecceee397066adb?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:29 PM"
3-26.3,propagation coefficient,,one per metre (https://app.notion.com/p/one-per-metre-3c0b24cf917a80fb8f99d1c0eb5b9710?pvs=21),ISO 80000-3 (https://app.notion.com/p/ISO-80000-3-8688695438424d3e96f09b1e3e4c141b?pvs=21),measure of the change of amplitude and phase angle (item 3-7) of a plane wave propagating in a given direction,gamma (https://app.notion.com/p/gamma-3c0b24cf917a809faa1ee97a4ab80908?pvs=21),Derived,Steven Jenkins,"August 18, 2026 12:32 PM"
4-1,mass,,kilogram (https://app.notion.com/p/kilogram-e97a788006a94077827a4293db5be484?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),property of a body which expresses itself in terms of inertia with regard to changes in its state of motion as well as its gravitational attraction to other bodies,m (https://app.notion.com/p/m-3c0b24cf917a80258f63d27942d4eb42?pvs=21),Base,Steven Jenkins,"August 18, 2026 10:58 PM"
4-2,mass density,,kilogram per cubic metre (https://app.notion.com/p/kilogram-per-cubic-metre-3c0b24cf917a80768563fad68edbeb07?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the spatial distribution of mass of a
continuous material:
$\rho(\boldsymbol r) = \mathrm dm / \mathrm dV$
where m is mass of the material","rho (https://app.notion.com/p/rho-3c0b24cf917a805e969cff14f72d601a?pvs=21), rho_m (https://app.notion.com/p/rho_m-3c1b24cf917a8073894bde8c82c3012d?pvs=21)",Derived,Steven Jenkins,"August 20, 2026 12:19 AM"
4-3,specific volume,,cubic metre per kilogram (https://app.notion.com/p/cubic-metre-per-kilogram-3c1b24cf917a8010bebbd6415696869e?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),reciprocal of mass density$ \rho$ (item 4-2): $v = \frac{1}{\rho}$,v (https://app.notion.com/p/v-3c0b24cf917a802fac36ca481d26e9bb?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:14 PM"
4-4,relative mass density,relative density (https://app.notion.com/p/relative-density-3c0b24cf917a8006b714cdaeee39b796?pvs=21),one (https://app.notion.com/p/one-3c0b24cf917a80a2b6efdb4b06e75983?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),quotient of mass density of a substance $\rho$ and a reference substance $\rho_0$: $d = \frac{\rho}{\rho_0}$,d (https://app.notion.com/p/d-3c0b24cf917a80eb832bf7a1d1ab7ac0?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:18 PM"
4-5,surface mass density,surface density (https://app.notion.com/p/surface-density-3c1b24cf917a80f7bd87e151d39035f5?pvs=21),kilogram per square metre (https://app.notion.com/p/kilogram-per-square-metre-3c1b24cf917a80d89d5bc96974bf842c?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the areal distribution of mass of a continuous material:
$\rho_A(\boldsymbol r) = \frac{\mathrm dm}{\mathrm dA}$
where $m$ is the mass of the material at position $\boldsymbol r$ and A is area",rho_A (https://app.notion.com/p/rho_A-3c1b24cf917a80c7a218d48907c4f77d?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:44 PM"
4-6,linear mass density density,linear density (https://app.notion.com/p/linear-density-3c1b24cf917a80b7974ae4f015fca627?pvs=21),kilogram per metre (https://app.notion.com/p/kilogram-per-metre-3c1b24cf917a80baa3a6c7cfe76c25e1?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"quantity representing the linear distribution of mass of a continuous material:
$\rho_A(\boldsymbol r) = \frac{\mathrm dm}{\mathrm dl}$
where $m$ is the mass of the material at position $\boldsymbol r$ and l is length",rho_l (https://app.notion.com/p/rho_l-3c1b24cf917a802780e2ff75517a087c?pvs=21),Derived,Steven Jenkins,"August 18, 2026 11:52 PM"
4-7,moment of inertia,,kilogram meter squared (https://app.notion.com/p/kilogram-meter-squared-3c0b24cf917a805fbd13c12ae3db3755?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"tensor (ISO 80000-2) quantity representing rotational inertia of a rigid body relative to a fixed centre of rotation expressed by the tensor product:
$\boldsymbol L = \boldsymbol J \boldsymbol \omega$
where $\boldsymbol L$ is angular momentum
(ISO 80000-3) of the body relative to the reference point and $\boldsymbol \omega$ is its angular velocity
(ISO 80000-3)",vector J (https://app.notion.com/p/vector-J-3c2b24cf917a80aeaa6ed9fa7fff42e3?pvs=21),Derived,Steven Jenkins,"August 20, 2026 12:06 AM"
4-8,momentum,,kilogram metre per second (https://app.notion.com/p/kilogram-metre-per-second-3c1b24cf917a8050a83fdeb54eb2a513?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),"product of mass $m$ (item 4-1) of a body and velocity $\boldsymbol v$ (ISO 80000-3) of its centre of mass $\boldsymbol p = m \boldsymbol v$ ",vector p (https://app.notion.com/p/vector-p-3c1b24cf917a80629516d71e99f50d1c?pvs=21),Derived,Steven Jenkins,"August 20, 2026 12:05 AM"
4-9.1,force,,newton (https://app.notion.com/p/newton-750dd870e1f64780b5d0d8ec3e41c255?pvs=21),ISO 80000-4 (https://app.notion.com/p/ISO-80000-4-70dc8fd590b7446cbf9b4a0a6c89c177?pvs=21),vector (ISO 80000-2) quantity describing interaction between bodies are particles,vector F (https://app.notion.com/p/vector-F-3c1b24cf917a806e8980d560fa0a56b6?pvs=21),Derived,Steven Jenkins,"August 20, 2026 12:14 AM"
